FunctionName,VersionCount
clinic-details-apis-v3-dev-get-clinic-history,17
dev_user_role_handler,12
device-service-prd-deviceUserList,8
user-service-stg-health,36
user-service-prd-getUser,14
order-service-stg-requestPayment,24
device-service-prd-deviceGet,8
template-service-dev-searchOrgEnablements,22
walkin-service-stg-queues,35
organization-service-prd-getExternalTenant,5
user-service-stg-getUser,42
chat-service-stg-processWebmVoiceRecording,40
device-service-stg-deviceUserAssign,18
template-service-dev-getOrgEnablementById,22
stg_get_assigned_users,20
stg_get_organizational_roles,20
chat-service-prd-userChatList,23
authorizer-service-dev-authorizer,4
clinic-details-apis-v3-dev-swagger-json,7
okr-management-apis-v1-dev-swagger-json,6
partner-integration-dev-searchPackages,4
payments-service-stg-webhook,19
okr-management-apis-v1-dev-update-Objective,11
organization-service-prd-updateOrganization,9
walkin-service-prd-queueAvailability,12
device-service-dev-swagger-json,25
fhir-gateway-dev-metadata,4
device-service-prd-deviceGlobalRegister,8
clinic-details-apis-v3-stg-create-clinicEntry,4
clinic-details-apis-v3-stg-delete-clinicEntry,4
walkin-service-prd-deleteBlock,12
organization-service-stg-getOrganizationCount,17
fairway-connect-apis-dev-testDeviceReturnReminderScheduler,47
device-service-stg-swagger-json,9
metadata-registry-service-dev-listMetadata,49
device-service-prd-orgDeviceManage,8
payments-service-stg-swagger-json,19
chat-service-prd-userPresence,23
chat-service-prd-chatHistory,23
clinic-details-apis-v3-dev-swagger-ui,6
fairway-connect-apis-prd-confirmEnrollmentPayment,8
metadata-registry-service-dev-patchMetadataStatus,49
user-service-prd-listDoctorPatients,14
payments-service-prd-swagger-json,13
template-service-dev-updateOrgEnablement,22
payments-service-stg-getRefund,19
chat-service-prd-makeAdminSessionActive,23
metadata-registry-service-stg-patchMetadataStatus,4
dev_save_org_default_role_v1,6
chat-service-prd-appChatHistory,23
prd_payment_stream_handler,13
walkin-service-prd-getBlocksByIds,12
dev_sync_roles_handler_v1,6
template-service-dev-createOrgEnablement,22
fairway-connect-apis-prd-completeEnrollment,9
device-service-prd-getOrganizationDevice,8
Telehealth-Scheduler-prd-fetchTimeslots,25
metadata-registry-service-stg-listMetadata,4
user-service-prd-listPendingAppointments,14
device-service-prd-deviceMetadataUpdate,8
partner-integration-dev-getDigitalReport,4
stg_get_organizational_roles_v1,3
user-service-stg-validateContacts,37
user-service-stg-uploadUserFile,42
prd_save_org_role,10
prd_assign_user_role,10
device-service-prd-deviceOrgList,8
stg_delete_org_role,20
payments-service-prd-healthCheck,13
chat-service-prd-userChatHistory,23
dev_get_role_permissions,18
clinic-details-apis-v3-dev-get-clinicDetails,17
fairway-connect-apis-prd-enrollmentOnStopBangPdfRequested,3
order-service-stg-createOrgOrder,24
walkin-service-stg-allQueues,16
chat-service-prd-editMessage,23
organization-service-stg-updateOrganization,17
walkin-service-stg-queueAvailability,35
chat-service-prd-resetCount,23
prd_order_stream_handler,8
chat-service-stg-chatList,48
user-service-prd-updateUser,14
clinic-details-apis-v3-stg-update-clinicEntry,4
walkin-service-dev-swagger-ui,31
prd_sync_roles_handler,9
user-service-stg-swagger-ui,6
user-service-prd-warmup-plugin-default,7
device-service-prd-deviceDeleteMultiple,8
payments-service-prd-webhook,13
walkin-service-stg-join,36
